       table_name        |       column_name        |   foreign_table_name   | foreign_column_name |          constraint_name
-------------------------+--------------------------+------------------------+---------------------+------------------------------------
 inbound_receipt_lines   | item_id                  | items                  | id                  | fk_inbound_receipt_lines_item
 inbound_receipt_lines   | lot_id                   | lots                   | id                  | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | lot_id                   | lots                   | warehouse_id        | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | lot_id                   | lots                   | item_id             | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | warehouse_id             | lots                   | id                  | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | warehouse_id             | lots                   | item_id             | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | warehouse_id             | lots                   | warehouse_id        | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | item_id                  | lots                   | id                  | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | item_id                  | lots                   | item_id             | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | item_id                  | lots                   | warehouse_id        | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | po_line_id               | purchase_order_lines   | id                  | fk_inbound_receipt_lines_po_line
 inbound_receipt_lines   | receipt_id               | inbound_receipts       | id                  | fk_inbound_receipt_lines_receipt
 inbound_receipt_lines   | warehouse_id             | warehouses             | id                  | fk_inbound_receipt_lines_warehouse
 inbound_receipt_lines   | uom_id                   | item_uoms              | id                  | fk_receipt_line_uom
 inbound_receipts        | supplier_id              | suppliers              | id                  | fk_inbound_receipts_supplier
 inbound_receipts        | warehouse_id             | warehouses             | id                  | fk_inbound_receipts_warehouse
 internal_outbound_lines | doc_id                   | internal_outbound_docs | id                  | fk_internal_outbound_lines_doc_id
 internal_outbound_lines | item_id                  | items                  | id                  | fk_internal_outbound_lines_item_id
 item_barcodes           | item_id                  | items                  | id                  | item_barcodes_item_id_fkey
 item_uoms               | item_id                  | items                  | id                  | item_uoms_item_id_fkey
 items                   | supplier_id              | suppliers              | id                  | fk_items_supplier
 lots                    | item_id                  | items                  | id                  | fk_lots_item
 lots                    | source_receipt_id        | inbound_receipts       | id                  | fk_lots_source_receipt
 lots                    | warehouse_id             | warehouses             | id                  | fk_lots_warehouse
 purchase_order_lines    | item_id                  | items                  | id                  | fk_po_line_item
 purchase_order_lines    | purchase_uom_id_snapshot | item_uoms              | id                  | fk_po_line_purchase_uom
 purchase_order_lines    | po_id                    | purchase_orders        | id                  | purchase_order_lines_po_id_fkey
 purchase_orders         | warehouse_id             | warehouses             | id                  | fk_po_warehouse
 purchase_orders         | supplier_id              | suppliers              | id                  | fk_purchase_orders_supplier_id
 stock_snapshots         | lot_id                   | lots                   | id                  | fk_stock_snapshots_lot_dims
 stock_snapshots         | lot_id                   | lots                   | warehouse_id        | fk_stock_snapshots_lot_dims
 stock_snapshots         | lot_id                   | lots                   | item_id             | fk_stock_snapshots_lot_dims
 stock_snapshots         | warehouse_id             | lots                   | warehouse_id        | fk_stock_snapshots_lot_dims
 stock_snapshots         | warehouse_id             | lots                   | id                  | fk_stock_snapshots_lot_dims
 stock_snapshots         | warehouse_id             | lots                   | item_id             | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | lots                   | warehouse_id        | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | lots                   | item_id             | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | lots                   | id                  | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | items                  | id                  | stock_snapshots_item_id_fkey
 stock_snapshots         | warehouse_id             | warehouses             | id                  | stock_snapshots_warehouse_id_fkey
(40 rows)
