        tablename        |                   indexname                    |                                                                                                           indexdef
-------------------------+------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 inbound_receipt_lines   | inbound_receipt_lines_pkey                     | CREATE UNIQUE INDEX inbound_receipt_lines_pkey ON public.inbound_receipt_lines USING btree (id)
 inbound_receipt_lines   | ix_inbound_receipt_lines_item                  | CREATE INDEX ix_inbound_receipt_lines_item ON public.inbound_receipt_lines USING btree (item_id)
 inbound_receipt_lines   | ix_inbound_receipt_lines_po_line_id            | CREATE INDEX ix_inbound_receipt_lines_po_line_id ON public.inbound_receipt_lines USING btree (po_line_id)
 inbound_receipt_lines   | ix_inbound_receipt_lines_receipt               | CREATE INDEX ix_inbound_receipt_lines_receipt ON public.inbound_receipt_lines USING btree (receipt_id)
 inbound_receipt_lines   | uq_inbound_receipt_lines_receipt_line          | CREATE UNIQUE INDEX uq_inbound_receipt_lines_receipt_line ON public.inbound_receipt_lines USING btree (receipt_id, line_no)
 inbound_receipts        | inbound_receipts_pkey                          | CREATE UNIQUE INDEX inbound_receipts_pkey ON public.inbound_receipts USING btree (id)
 inbound_receipts        | ix_inbound_receipts_occurred_at                | CREATE INDEX ix_inbound_receipts_occurred_at ON public.inbound_receipts USING btree (occurred_at)
 inbound_receipts        | ix_inbound_receipts_supplier                   | CREATE INDEX ix_inbound_receipts_supplier ON public.inbound_receipts USING btree (supplier_id)
 inbound_receipts        | ix_inbound_receipts_trace                      | CREATE INDEX ix_inbound_receipts_trace ON public.inbound_receipts USING btree (trace_id)
 inbound_receipts        | ix_inbound_receipts_wh                         | CREATE INDEX ix_inbound_receipts_wh ON public.inbound_receipts USING btree (warehouse_id)
 inbound_receipts        | uq_inbound_receipts_po_draft                   | CREATE UNIQUE INDEX uq_inbound_receipts_po_draft ON public.inbound_receipts USING btree (source_type, source_id) WHERE (((source_type)::text = 'PO'::text) AND (source_id IS NOT NULL) AND ((status)::text = 'DRAFT'::text))
 inbound_receipts        | uq_inbound_receipts_ref                        | CREATE UNIQUE INDEX uq_inbound_receipts_ref ON public.inbound_receipts USING btree (ref)
 internal_outbound_docs  | internal_outbound_docs_pkey                    | CREATE UNIQUE INDEX internal_outbound_docs_pkey ON public.internal_outbound_docs USING btree (id)
 internal_outbound_docs  | ix_internal_outbound_docs_status               | CREATE INDEX ix_internal_outbound_docs_status ON public.internal_outbound_docs USING btree (status)
 internal_outbound_docs  | ix_internal_outbound_docs_trace_id             | CREATE INDEX ix_internal_outbound_docs_trace_id ON public.internal_outbound_docs USING btree (trace_id)
 internal_outbound_docs  | ix_internal_outbound_docs_warehouse_doc_no     | CREATE UNIQUE INDEX ix_internal_outbound_docs_warehouse_doc_no ON public.internal_outbound_docs USING btree (warehouse_id, doc_no)
 internal_outbound_lines | internal_outbound_lines_pkey                   | CREATE UNIQUE INDEX internal_outbound_lines_pkey ON public.internal_outbound_lines USING btree (id)
 internal_outbound_lines | ix_internal_outbound_lines_doc_id              | CREATE INDEX ix_internal_outbound_lines_doc_id ON public.internal_outbound_lines USING btree (doc_id)
 internal_outbound_lines | ix_internal_outbound_lines_item_id             | CREATE INDEX ix_internal_outbound_lines_item_id ON public.internal_outbound_lines USING btree (item_id)
 internal_outbound_lines | uq_internal_outbound_lines_doc_line_no         | CREATE UNIQUE INDEX uq_internal_outbound_lines_doc_line_no ON public.internal_outbound_lines USING btree (doc_id, line_no)
 inventory_movements     | inventory_movements_pkey                       | CREATE UNIQUE INDEX inventory_movements_pkey ON public.inventory_movements USING btree (id)
 inventory_movements     | ix_inventory_movements_id                      | CREATE INDEX ix_inventory_movements_id ON public.inventory_movements USING btree (id)
 inventory_movements     | ix_inventory_movements_item_sku                | CREATE INDEX ix_inventory_movements_item_sku ON public.inventory_movements USING btree (item_sku)
 inventory_movements     | ix_inventory_movements_move_type               | CREATE INDEX ix_inventory_movements_move_type ON public.inventory_movements USING btree (movement_type)
 inventory_movements     | ix_inventory_movements_movement_type           | CREATE INDEX ix_inventory_movements_movement_type ON public.inventory_movements USING btree (movement_type)
 inventory_movements     | ix_inventory_movements_sku_time                | CREATE INDEX ix_inventory_movements_sku_time ON public.inventory_movements USING btree (item_sku, "timestamp")
 inventory_movements     | ix_inventory_movements_type_time               | CREATE INDEX ix_inventory_movements_type_time ON public.inventory_movements USING btree (movement_type, "timestamp")
