    referencing_table    |    referencing_column    |    referenced_table    | referenced_column |          constraint_name
-------------------------+--------------------------+------------------------+-------------------+------------------------------------
 inbound_receipt_lines   | receipt_id               | inbound_receipts       | id                | fk_inbound_receipt_lines_receipt
 lots                    | source_receipt_id        | inbound_receipts       | id                | fk_lots_source_receipt
 internal_outbound_lines | doc_id                   | internal_outbound_docs | id                | fk_internal_outbound_lines_doc_id
 inbound_receipt_lines   | uom_id                   | item_uoms              | id                | fk_receipt_line_uom
 purchase_order_lines    | purchase_uom_id_snapshot | item_uoms              | id                | fk_po_line_purchase_uom
 fsku_components         | item_id                  | items                  | id                | fsku_components_item_id_fkey
 inbound_receipt_lines   | item_id                  | items                  | id                | fk_inbound_receipt_lines_item
 internal_outbound_lines | item_id                  | items                  | id                | fk_internal_outbound_lines_item_id
 inventory_movements     | item_sku                 | items                  | sku               | inventory_movements_item_sku_fkey
 item_barcodes           | item_id                  | items                  | id                | item_barcodes_item_id_fkey
 item_test_set_items     | item_id                  | items                  | id                | fk_item_test_set_items_item_id
 item_uoms               | item_id                  | items                  | id                | item_uoms_item_id_fkey
 lots                    | item_id                  | items                  | id                | fk_lots_item
 order_items             | item_id                  | items                  | id                | fk_order_items_item
 purchase_order_lines    | item_id                  | items                  | id                | fk_po_line_item
 stock_ledger            | item_id                  | items                  | id                | fk_stock_ledger_item_id
 stock_snapshots         | item_id                  | items                  | id                | stock_snapshots_item_id_fkey
 stocks_lot              | item_id                  | items                  | id                | fk_stocks_lot_item
 store_items             | item_id                  | items                  | id                | store_items_item_id_fkey
 inbound_receipt_lines   | lot_id                   | lots                   | warehouse_id      | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | lot_id                   | lots                   | id                | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | lot_id                   | lots                   | item_id           | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | warehouse_id             | lots                   | warehouse_id      | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | warehouse_id             | lots                   | id                | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | warehouse_id             | lots                   | item_id           | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | item_id                  | lots                   | item_id           | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | item_id                  | lots                   | warehouse_id      | fk_inbound_receipt_lines_lot_dims
 inbound_receipt_lines   | item_id                  | lots                   | id                | fk_inbound_receipt_lines_lot_dims
 stock_ledger            | lot_id                   | lots                   | item_id           | fk_stock_ledger_lot_dims
 stock_ledger            | lot_id                   | lots                   | id                | fk_stock_ledger_lot_dims
 stock_ledger            | lot_id                   | lots                   | warehouse_id      | fk_stock_ledger_lot_dims
 stock_ledger            | warehouse_id             | lots                   | item_id           | fk_stock_ledger_lot_dims
 stock_ledger            | warehouse_id             | lots                   | warehouse_id      | fk_stock_ledger_lot_dims
 stock_ledger            | warehouse_id             | lots                   | id                | fk_stock_ledger_lot_dims
 stock_ledger            | item_id                  | lots                   | id                | fk_stock_ledger_lot_dims
 stock_ledger            | item_id                  | lots                   | warehouse_id      | fk_stock_ledger_lot_dims
 stock_ledger            | item_id                  | lots                   | item_id           | fk_stock_ledger_lot_dims
 stock_snapshots         | lot_id                   | lots                   | id                | fk_stock_snapshots_lot_dims
 stock_snapshots         | lot_id                   | lots                   | warehouse_id      | fk_stock_snapshots_lot_dims
 stock_snapshots         | lot_id                   | lots                   | item_id           | fk_stock_snapshots_lot_dims
 stock_snapshots         | warehouse_id             | lots                   | item_id           | fk_stock_snapshots_lot_dims
 stock_snapshots         | warehouse_id             | lots                   | id                | fk_stock_snapshots_lot_dims
 stock_snapshots         | warehouse_id             | lots                   | warehouse_id      | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | lots                   | id                | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | lots                   | item_id           | fk_stock_snapshots_lot_dims
 stock_snapshots         | item_id                  | lots                   | warehouse_id      | fk_stock_snapshots_lot_dims
 stocks_lot              | lot_id                   | lots                   | item_id           | fk_stocks_lot_lot_dims
 stocks_lot              | lot_id                   | lots                   | warehouse_id      | fk_stocks_lot_lot_dims
 stocks_lot              | lot_id                   | lots                   | id                | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | lots                   | warehouse_id      | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | lots                   | item_id           | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | lots                   | id                | fk_stocks_lot_lot_dims
 stocks_lot              | item_id                  | lots                   | item_id           | fk_stocks_lot_lot_dims
 stocks_lot              | item_id                  | lots                   | id                | fk_stocks_lot_lot_dims
 stocks_lot              | item_id                  | lots                   | warehouse_id      | fk_stocks_lot_lot_dims
 outbound_lines_v2       | commit_id                | outbound_commits_v2    | id                | fk_outbound_lines_v2_commit
 inbound_receipt_lines   | po_line_id               | purchase_order_lines   | id                | fk_inbound_receipt_lines_po_line
 purchase_order_lines    | po_id                    | purchase_orders        | id                | purchase_order_lines_po_id_fkey
(58 rows)
