           table_name           | ordinal_position |             column_name              |        data_type         |     udt_name      | is_nullable |                   column_default
--------------------------------+------------------+--------------------------------------+--------------------------+-------------------+-------------+-----------------------------------------------------
 inbound_receipt_lines          |                1 | id                                   | integer                  | int4              | NO          | nextval('inbound_receipt_lines_id_seq'::regclass)
 inbound_receipt_lines          |                2 | receipt_id                           | integer                  | int4              | NO          |
 inbound_receipt_lines          |                3 | line_no                              | integer                  | int4              | NO          |
 inbound_receipt_lines          |                4 | po_line_id                           | integer                  | int4              | YES         |
 inbound_receipt_lines          |                5 | item_id                              | integer                  | int4              | NO          |
 inbound_receipt_lines          |                9 | production_date                      | date                     | date              | YES         |
 inbound_receipt_lines          |               10 | expiry_date                          | date                     | date              | YES         |
 inbound_receipt_lines          |               14 | unit_cost                            | numeric                  | numeric           | YES         |
 inbound_receipt_lines          |               15 | line_amount                          | numeric                  | numeric           | YES         |
 inbound_receipt_lines          |               16 | remark                               | character varying        | varchar           | YES         |
 inbound_receipt_lines          |               17 | created_at                           | timestamp with time zone | timestamptz       | NO          | now()
 inbound_receipt_lines          |               18 | updated_at                           | timestamp with time zone | timestamptz       | NO          | now()
 inbound_receipt_lines          |               24 | lot_id                               | integer                  | int4              | YES         |
 inbound_receipt_lines          |               25 | warehouse_id                         | integer                  | int4              | NO          |
 inbound_receipt_lines          |               27 | uom_id                               | integer                  | int4              | NO          |
 inbound_receipt_lines          |               28 | qty_input                            | integer                  | int4              | NO          |
 inbound_receipt_lines          |               29 | ratio_to_base_snapshot               | integer                  | int4              | NO          |
 inbound_receipt_lines          |               30 | qty_base                             | integer                  | int4              | NO          |
 inbound_receipt_lines          |               31 | receipt_status_snapshot              | character varying        | varchar           | NO          |
 inbound_receipt_lines          |               32 | lot_code_input                       | character varying        | varchar           | YES         |
 inbound_receipts               |                1 | id                                   | integer                  | int4              | NO          | nextval('inbound_receipts_id_seq'::regclass)
 inbound_receipts               |                2 | warehouse_id                         | integer                  | int4              | NO          |
 inbound_receipts               |                3 | supplier_id                          | integer                  | int4              | YES         |
 inbound_receipts               |                4 | supplier_name                        | character varying        | varchar           | YES         |
 inbound_receipts               |                5 | source_type                          | character varying        | varchar           | NO          |
 inbound_receipts               |                6 | source_id                            | integer                  | int4              | YES         |
 inbound_receipts               |                8 | ref                                  | character varying        | varchar           | NO          |
 inbound_receipts               |                9 | trace_id                             | character varying        | varchar           | YES         |
 inbound_receipts               |               10 | status                               | character varying        | varchar           | NO          | 'DRAFT'::character varying
 inbound_receipts               |               11 | remark                               | character varying        | varchar           | YES         |
 inbound_receipts               |               12 | occurred_at                          | timestamp with time zone | timestamptz       | NO          |
 inbound_receipts               |               13 | created_at                           | timestamp with time zone | timestamptz       | NO          | now()
 inbound_receipts               |               14 | updated_at                           | timestamp with time zone | timestamptz       | NO          | now()
 internal_outbound_docs         |                1 | id                                   | bigint                   | int8              | NO          | nextval('internal_outbound_docs_id_seq'::regclass)
 internal_outbound_docs         |                2 | warehouse_id                         | bigint                   | int8              | NO          |
 internal_outbound_docs         |                3 | doc_no                               | text                     | text              | NO          |
 internal_outbound_docs         |                4 | doc_type                             | text                     | text              | NO          |
 internal_outbound_docs         |                5 | status                               | text                     | text              | NO          | 'DRAFT'::text
 internal_outbound_docs         |                6 | recipient_name                       | text                     | text              | YES         |
 internal_outbound_docs         |                7 | recipient_id                         | bigint                   | int8              | YES         |
 internal_outbound_docs         |                8 | recipient_type                       | text                     | text              | YES         |
 internal_outbound_docs         |                9 | recipient_note                       | text                     | text              | YES         |
 internal_outbound_docs         |               10 | note                                 | text                     | text              | YES         |
 internal_outbound_docs         |               11 | created_by                           | bigint                   | int8              | YES         |
 internal_outbound_docs         |               12 | created_at                           | timestamp with time zone | timestamptz       | NO          | now()
 internal_outbound_docs         |               13 | confirmed_by                         | bigint                   | int8              | YES         |
 internal_outbound_docs         |               14 | confirmed_at                         | timestamp with time zone | timestamptz       | YES         |
 internal_outbound_docs         |               15 | canceled_by                          | bigint                   | int8              | YES         |
 internal_outbound_docs         |               16 | canceled_at                          | timestamp with time zone | timestamptz       | YES         |
 internal_outbound_docs         |               17 | trace_id                             | text                     | text              | YES         |
 internal_outbound_docs         |               18 | extra_meta                           | json                     | json              | YES         |
 internal_outbound_lines        |                1 | id                                   | bigint                   | int8              | NO          | nextval('internal_outbound_lines_id_seq'::regclass)
 internal_outbound_lines        |                2 | doc_id                               | bigint                   | int8              | NO          |
 internal_outbound_lines        |                3 | line_no                              | integer                  | int4              | NO          |
 internal_outbound_lines        |                4 | item_id                              | bigint                   | int8              | NO          |
 internal_outbound_lines        |                5 | batch_code                           | text                     | text              | YES         |
 internal_outbound_lines        |                6 | requested_qty                        | integer                  | int4              | NO          |
 internal_outbound_lines        |                7 | confirmed_qty                        | integer                  | int4              | YES         |
 internal_outbound_lines        |                9 | note                                 | text                     | text              | YES         |
 internal_outbound_lines        |               10 | extra_meta                           | json                     | json              | YES         |
 inventory_movements            |                1 | id                                   | text                     | text              | NO          |
 inventory_movements            |                2 | item_sku                             | character varying        | varchar           | YES         |
 inventory_movements            |                3 | movement_type                        | USER-DEFINED             | movementtype      | NO          |
 inventory_movements            |                4 | timestamp                            | timestamp with time zone | timestamptz       | NO          |
 inventory_movements            |                5 | item_id                              | integer                  | int4              | NO          |
 inventory_movements            |                6 | location_id                          | integer                  | int4              | NO          |
 inventory_movements            |                7 | batch_code                           | character varying        | varchar           | YES         |
 inventory_movements            |                8 | qty                                  | numeric                  | numeric           | NO          | 0
 inventory_movements            |                9 | reason                               | character varying        | varchar           | NO          | 'UNKNOWN'::character varying
 inventory_movements            |               10 | ref                                  | character varying        | varchar           | YES         |
 inventory_movements            |               11 | occurred_at                          | timestamp with time zone | timestamptz       | NO          | now()
 inventory_movements            |               12 | from_location_id                     | integer                  | int4              | YES         |
 inventory_movements            |               13 | to_location_id                       | integer                  | int4              | YES         |
 inventory_movements            |               14 | quantity                             | double precision         | float8            | NO          |
 item_barcodes                  |                1 | id                                   | bigint                   | int8              | NO          | nextval('item_barcodes_id_seq'::regclass)
 item_barcodes                  |                2 | item_id                              | bigint                   | int8              | NO          |
 item_barcodes                  |                3 | barcode                              | text                     | text              | NO          |
 item_barcodes                  |                4 | kind                                 | text                     | text              | NO          | 'EAN13'::text
 item_barcodes                  |                5 | active                               | boolean                  | bool              | NO          | true
 item_barcodes                  |                6 | created_at                           | timestamp with time zone | timestamptz       | NO          | now()
 item_barcodes                  |                7 | is_primary                           | boolean                  | bool              | NO          | false
 item_barcodes                  |                8 | updated_at                           | timestamp with time zone | timestamptz       | NO          | now()
 item_uoms                      |                1 | id                                   | integer                  | int4              | NO          | nextval('item_uoms_id_seq'::regclass)
 item_uoms                      |                2 | item_id                              | integer                  | int4              | NO          |
 item_uoms                      |                3 | uom                                  | character varying        | varchar           | NO          |
 item_uoms                      |                4 | ratio_to_base                        | integer                  | int4              | NO          |
